month,year,gross_turnover_inr,tax_paid_inr,filing_status,filing_delay_days,itc_claimed_inr,business_id
11,2025,3604746.88,648854.44,Filed,0,252573.69,MSME_162672383
12,2025,3839499.42,691109.9,Late,34,82073.33,MSME_162672383
01,2026,3740665.98,673319.88,Filed,0,117171.49,MSME_162672383
02,2026,3714410.59,668593.91,Filed,0,93535.34,MSME_162672383
03,2026,3660948.01,658970.64,Filed,0,78829.3,MSME_162672383
04,2026,3576085.71,643695.43,Filed,0,107533.1,MSME_162672383
05,2026,3789224.75,682060.45,Filed,0,166571.13,MSME_162672383
06,2026,3822134.94,687984.29,Filed,0,265032.7,MSME_162672383
07,2024,4232633.98,761874.12,Filed,0,138986.91,MSME_036125107
08,2024,3974045.22,715328.14,Filed,0,120180.03,MSME_036125107
09,2024,3802730.35,684491.46,Filed,0,254198.23,MSME_036125107
10,2024,3996321.56,719337.88,Filed,0,263877.93,MSME_036125107
11,2024,3941703.62,709506.65,Filed,0,193093.47,MSME_036125107
12,2024,3976790.28,715822.25,Filed,0,132805.38,MSME_036125107
01,2025,4005301.96,720954.35,Filed,0,129563.1,MSME_036125107
02,2025,4557519.57,820353.52,Filed,0,302557.15,MSME_036125107
03,2025,4055855.53,730054.0,Filed,0,103209.44,MSME_036125107
04,2025,4275487.47,769587.74,Filed,0,274432.62,MSME_036125107
05,2025,4397586.35,791565.54,Filed,0,184180.57,MSME_036125107
06,2025,4526768.72,814818.37,Filed,0,106007.96,MSME_036125107
07,2025,4612585.84,830265.45,Filed,0,283532.11,MSME_036125107
08,2025,4581435.45,824658.38,Filed,0,190138.62,MSME_036125107
09,2025,4355252.65,783945.48,Filed,0,256189.48,MSME_036125107
10,2025,4193309.39,754795.69,Filed,0,185017.1,MSME_036125107
11,2025,4326115.57,778700.8,Filed,0,94034.33,MSME_036125107
12,2025,4477984.97,806037.29,Filed,0,206471.43,MSME_036125107
01,2026,4407079.72,793274.35,Filed,0,161015.61,MSME_036125107
02,2026,4059380.6,730688.51,Filed,0,282253.54,MSME_036125107
03,2026,4409340.03,793681.21,Filed,0,146655.08,MSME_036125107
04,2026,4394950.87,791091.16,Filed,0,189071.37,MSME_036125107
05,2026,4456928.45,802247.12,Filed,0,179593.14,MSME_036125107
06,2026,4804770.5,864858.69,Filed,0,310705.58,MSME_036125107
07,2024,699084.71,125835.25,Filed,11,48347.31,MSME_955327206
08,2024,662214.14,119198.54,Filed,13,30249.52,MSME_955327206
09,2024,615705.35,110826.96,Filed,28,39586.13,MSME_955327206
10,2024,666325.37,119938.57,Late,35,38778.48,MSME_955327206
11,2024,667997.37,120239.53,Filed,0,20679.69,MSME_955327206
12,2024,581771.15,104718.81,Filed,4,15172.06,MSME_955327206
01,2025,650502.17,117090.39,Filed,10,42173.95,MSME_955327206
02,2025,592676.8,106681.82,Filed,2,19023.73,MSME_955327206
03,2025,633942.03,114109.57,Late,40,30911.75,MSME_955327206
04,2025,650823.65,117148.26,Filed,0,13902.06,MSME_955327206
05,2025,691833.87,124530.1,Late,41,39534.33,MSME_955327206
06,2025,613069.81,110352.57,Filed,0,12775.51,MSME_955327206
07,2025,533312.69,95996.28,Late,40,28604.97,MSME_955327206
08,2025,734223.17,132160.17,Filed,0,25909.63,MSME_955327206
09,2025,706887.21,127239.7,Filed,28,47328.49,MSME_955327206
10,2025,614542.41,110617.63,Filed,0,11120.27,MSME_955327206
11,2025,564504.93,101610.89,Filed,29,12854.16,MSME_955327206
12,2025,648225.3,116680.55,Late,31,16072.6,MSME_955327206
01,2026,613915.97,110504.87,Filed,15,27591.59,MSME_955327206
02,2026,555044.52,99908.01,Filed,3,22984.79,MSME_955327206
03,2026,577390.0,103930.2,Filed,0,34809.97,MSME_955327206
04,2026,496971.35,89454.84,Filed,0,16363.68,MSME_955327206
05,2026,647120.17,116481.63,Late,36,15575.47,MSME_955327206
06,2026,651755.28,117315.95,Filed,19,21410.57,MSME_955327206
07,2024,1887280.6,339710.51,Filed,0,44913.07,MSME_438717791
08,2024,2002799.96,360503.99,Filed,0,115513.04,MSME_438717791
09,2024,1986887.99,357639.84,Filed,0,107096.57,MSME_438717791
10,2024,2084481.73,375206.71,Filed,0,38098.64,MSME_438717791
11,2024,1898156.42,341668.16,Filed,0,96630.88,MSME_438717791
12,2024,2141542.39,385477.63,Filed,0,113384.9,MSME_438717791
01,2025,2223852.91,400293.52,Filed,0,118928.05,MSME_438717791
02,2025,2006185.1,361113.32,Filed,0,69562.92,MSME_438717791
03,2025,1959876.58,352777.78,Filed,0,42602.13,MSME_438717791
04,2025,2219774.05,399559.33,Filed,0,130746.8,MSME_438717791
05,2025,2170693.21,390724.78,Filed,0,134701.51,MSME_438717791
06,2025,2223196.79,400175.42,Filed,0,45127.24,MSME_438717791
07,2025,2025241.37,364543.45,Filed,0,119155.83,MSME_438717791
08,2025,2194533.07,395015.95,Filed,0,98057.85,MSME_438717791
09,2025,2159764.71,388757.65,Filed,0,95332.47,MSME_438717791
10,2025,2066307.02,371935.26,Filed,0,122221.09,MSME_438717791
11,2025,2333111.28,419960.03,Filed,0,59191.23,MSME_438717791
12,2025,2394194.51,430955.01,Filed,0,154284.13,MSME_438717791
01,2026,2307545.09,415358.12,Filed,0,155044.64,MSME_438717791
02,2026,2289215.18,412058.73,Filed,1,106260.65,MSME_438717791
03,2026,2146046.89,386288.44,Filed,0,99849.61,MSME_438717791
04,2026,2382856.05,428914.09,Filed,0,116722.89,MSME_438717791
05,2026,2290710.35,412327.86,Filed,0,114904.15,MSME_438717791
06,2026,2453012.98,441542.34,Filed,0,91706.87,MSME_438717791
07,2024,2248496.68,404729.4,Filed,0,92610.26,MSME_057448052
08,2024,2426393.98,436750.92,Filed,0,123412.06,MSME_057448052
09,2024,2182197.81,392795.61,Filed,0,77554.94,MSME_057448052
10,2024,2272361.87,409025.14,Filed,0,102042.58,MSME_057448052
11,2024,2130756.78,383536.22,Filed,0,78382.62,MSME_057448052
12,2024,2202836.19,396510.51,Filed,0,84937.21,MSME_057448052
01,2025,2313718.09,416469.26,Filed,0,42146.65,MSME_057448052
02,2025,2388123.09,429862.16,Filed,0,64059.78,MSME_057448052
03,2025,2559531.01,460715.58,Filed,0,119336.82,MSME_057448052
04,2025,2435032.15,438305.79,Filed,0,174984.13,MSME_057448052
05,2025,2464414.04,443594.53,Filed,0,98751.95,MSME_057448052
06,2025,2345845.04,422252.11,Filed,0,144994.6,MSME_057448052
07,2025,2363951.96,425511.35,Filed,0,51670.41,MSME_057448052
08,2025,2571513.26,462872.39,Filed,0,122789.89,MSME_057448052
09,2025,2347067.49,422472.15,Late,44,79247.91,MSME_057448052
10,2025,2629813.93,473366.51,Filed,0,128752.39,MSME_057448052
11,2025,2433895.57,438101.2,Filed,0,104985.42,MSME_057448052
12,2025,2465748.94,443834.81,Filed,0,140500.32,MSME_057448052
01,2026,2550461.56,459083.08,Filed,0,152970.31,MSME_057448052
02,2026,2602196.87,468395.44,Filed,0,146874.63,MSME_057448052
03,2026,2571500.84,462870.15,Filed,0,149116.44,MSME_057448052
04,2026,2619189.38,471454.09,Filed,0,72589.58,MSME_057448052
05,2026,2572871.23,463116.82,Filed,0,142965.86,MSME_057448052
06,2026,2555252.23,459945.4,Filed,0,148373.91,MSME_057448052
07,2024,2061627.32,371092.92,Filed,9,82646.02,MSME_683442569
08,2024,2052262.34,369407.22,Filed,0,44540.74,MSME_683442569
09,2024,2291039.88,412387.18,Filed,0,98877.92,MSME_683442569
10,2024,2372951.46,427131.26,Filed,0,76262.75,MSME_683442569
11,2024,2372429.17,427037.25,Filed,0,161784.12,MSME_683442569
12,2024,2512209.77,452197.76,Filed,0,112545.69,MSME_683442569
01,2025,2568849.22,462392.86,Filed,0,173876.64,MSME_683442569
02,2025,2432830.71,437909.53,Filed,0,128811.23,MSME_683442569
03,2025,2296820.03,413427.61,Filed,0,98279.83,MSME_683442569
04,2025,2397402.28,431532.41,Filed,0,109791.84,MSME_683442569
05,2025,2623400.63,472212.11,Filed,0,88594.44,MSME_683442569
06,2025,2483589.53,447046.11,Late,37,158353.33,MSME_683442569
07,2025,2428739.67,437173.14,Filed,0,69146.56,MSME_683442569
08,2025,2343270.92,421788.77,Filed,0,65810.07,MSME_683442569
09,2025,2269878.72,408578.17,Filed,0,54532.41,MSME_683442569
10,2025,2721782.5,489920.85,Filed,0,117158.58,MSME_683442569
11,2025,2762616.92,497271.05,Filed,0,107228.65,MSME_683442569
12,2025,2724005.2,490320.94,Filed,0,124778.78,MSME_683442569
01,2026,2638955.83,475012.05,Filed,0,108694.51,MSME_683442569
02,2026,2689390.07,484090.21,Filed,0,180810.84,MSME_683442569
03,2026,2478823.03,446188.15,Filed,0,59382.8,MSME_683442569
04,2026,2622853.07,472113.55,Filed,0,144789.42,MSME_683442569
05,2026,2865313.91,515756.5,Filed,0,180082.13,MSME_683442569
06,2026,2614931.89,470687.74,Filed,0,173490.83,MSME_683442569
07,2024,3622899.73,652121.95,Filed,0,108867.02,MSME_328136001
08,2024,3614224.36,650560.38,Filed,0,169632.08,MSME_328136001
09,2024,4039872.62,727177.07,Filed,0,242826.4,MSME_328136001
10,2024,4403251.42,792585.26,Filed,0,265363.3,MSME_328136001
11,2024,3879812.86,698366.32,Filed,0,90025.99,MSME_328136001
12,2024,3975385.82,715569.45,Late,41,123947.03,MSME_328136001
01,2025,4197214.22,755498.56,Filed,0,263906.14,MSME_328136001
02,2025,4220854.17,759753.75,Filed,0,205177.86,MSME_328136001
03,2025,4081082.14,734594.79,Filed,0,103520.13,MSME_328136001
04,2025,3931035.14,707586.33,Filed,0,89401.77,MSME_328136001
05,2025,4350202.27,783036.41,Filed,0,126440.22,MSME_328136001
06,2025,4311012.86,775982.31,Filed,0,104825.4,MSME_328136001
07,2025,4284047.7,771128.59,Filed,0,288714.03,MSME_328136001
08,2025,4528679.66,815162.34,Filed,0,199182.16,MSME_328136001
09,2025,4047690.18,728584.23,Filed,0,230783.36,MSME_328136001
10,2025,4482226.44,806800.76,Filed,0,127337.48,MSME_328136001
11,2025,4452634.11,801474.14,Filed,0,168081.42,MSME_328136001
12,2025,4331477.15,779665.89,Filed,0,222012.39,MSME_328136001
01,2026,4595553.23,827199.58,Filed,0,283807.86,MSME_328136001
02,2026,4589521.48,826113.87,Filed,0,244198.4,MSME_328136001
03,2026,4437695.99,798785.28,Filed,0,119247.72,MSME_328136001
04,2026,4764372.02,857586.96,Filed,0,169859.21,MSME_328136001
05,2026,4582797.34,824903.52,Filed,0,231633.76,MSME_328136001
06,2026,4601144.11,828205.94,Filed,14,288794.95,MSME_328136001
07,2024,3676588.74,661785.97,Late,43,246234.97,MSME_608675946
08,2024,3613706.04,650467.09,Filed,1,181501.64,MSME_608675946
09,2024,3642210.04,655597.81,Filed,20,114709.2,MSME_608675946
10,2024,3679326.6,662278.79,Filed,2,97951.62,MSME_608675946
11,2024,3941804.65,709524.84,Late,42,188764.61,MSME_608675946
12,2024,2915921.68,524865.9,Filed,10,148126.21,MSME_608675946
01,2025,2854198.1,513755.66,Filed,0,147312.57,MSME_608675946
02,2025,2626962.26,472853.21,Filed,24,128490.41,MSME_608675946
03,2025,2614789.68,470662.14,Filed,15,117191.59,MSME_608675946
04,2025,3304087.48,594735.75,Filed,0,216026.12,MSME_608675946
05,2025,2497232.17,449501.79,Filed,1,73975.44,MSME_608675946
06,2025,2891235.32,520422.36,Filed,0,193998.71,MSME_608675946
07,2025,3107838.07,559410.85,Filed,0,200671.39,MSME_608675946
08,2025,3369419.05,606495.43,Filed,18,227854.71,MSME_608675946
09,2025,2685657.97,483418.43,Late,36,101522.83,MSME_608675946
10,2025,2900964.84,522173.67,Filed,0,60758.56,MSME_608675946
11,2025,2865888.39,515859.91,Filed,0,105754.8,MSME_608675946
12,2025,2712394.93,488231.09,Filed,0,178526.43,MSME_608675946
01,2026,2903262.42,522587.23,Filed,4,205491.13,MSME_608675946
02,2026,2715202.33,488736.42,Late,39,155226.25,MSME_608675946
03,2026,2883721.28,519069.83,Late,39,193094.49,MSME_608675946
04,2026,2849538.09,512916.86,Filed,0,114294.85,MSME_608675946
05,2026,2499105.63,449839.01,Filed,22,63484.23,MSME_608675946
06,2026,3019116.28,543440.93,Filed,0,76373.9,MSME_608675946
07,2024,3572560.5,643060.89,Filed,0,130218.82,MSME_397693105
08,2024,3236663.13,582599.36,Filed,0,138783.0,MSME_397693105
09,2024,3807711.62,685388.09,Filed,0,74313.38,MSME_397693105
10,2024,2801479.94,504266.39,Filed,0,197151.24,MSME_397693105
11,2024,4094156.57,736948.18,Filed,0,194739.08,MSME_397693105
12,2024,3979407.04,716293.27,Filed,0,191175.63,MSME_397693105
01,2025,3523046.03,634148.28,Filed,25,163041.41,MSME_397693105
02,2025,4018855.51,723393.99,Filed,0,154605.88,MSME_397693105
03,2025,3927811.07,707005.99,Filed,0,276482.53,MSME_397693105
04,2025,3670168.67,660630.36,Filed,0,66227.29,MSME_397693105
05,2025,3181827.33,572728.92,Filed,0,213916.5,MSME_397693105
06,2025,3192298.79,574613.78,Late,40,177417.93,MSME_397693105
07,2025,3549127.65,638842.98,Filed,14,166751.25,MSME_397693105
08,2025,4045831.79,728249.72,Filed,0,129502.83,MSME_397693105
09,2025,3613298.26,650393.69,Filed,0,170373.76,MSME_397693105
10,2025,4048906.01,728803.08,Filed,0,110016.27,MSME_397693105
11,2025,2906117.79,523101.2,Filed,0,68143.43,MSME_397693105
12,2025,3655936.35,658068.54,Filed,0,124689.81,MSME_397693105
01,2026,3719760.94,669556.97,Filed,0,258981.84,MSME_397693105
02,2026,5110381.33,919868.64,Filed,0,167676.0,MSME_397693105
03,2026,3399421.39,611895.85,Filed,0,240048.64,MSME_397693105
04,2026,3243941.24,583909.42,Filed,18,145629.09,MSME_397693105
05,2026,3255474.04,585985.33,Filed,0,131575.29,MSME_397693105
06,2026,3530431.27,635477.63,Filed,0,249826.77,MSME_397693105
07,2024,1328234.66,239082.24,Filed,0,25961.77,MSME_384669616
08,2024,1236265.55,222527.8,Filed,0,28986.51,MSME_384669616
09,2024,1315155.92,236728.07,Filed,0,25940.51,MSME_384669616
10,2024,1306746.8,235214.42,Filed,0,92810.43,MSME_384669616
11,2024,1322807.04,238105.27,Filed,23,43215.18,MSME_384669616
12,2024,1296669.65,233400.54,Filed,0,75268.56,MSME_384669616
01,2025,1420795.53,255743.2,Late,37,56136.71,MSME_384669616
02,2025,1340515.13,241292.72,Filed,0,89955.24,MSME_384669616
03,2025,1436836.66,258630.6,Filed,0,44175.38,MSME_384669616
04,2025,1371756.99,246916.26,Filed,0,41149.84,MSME_384669616
05,2025,1325512.96,238592.33,Filed,0,56643.66,MSME_384669616
06,2025,1428742.04,257173.57,Filed,0,67770.42,MSME_384669616
07,2025,1442945.21,259730.14,Filed,0,48221.04,MSME_384669616
08,2025,1351081.1,243194.6,Filed,0,33612.91,MSME_384669616
09,2025,1594722.91,287050.12,Filed,0,98274.59,MSME_384669616
10,2025,1468493.9,264328.9,Filed,0,49945.34,MSME_384669616
11,2025,1476788.45,265821.92,Filed,0,47301.07,MSME_384669616
12,2025,1451969.84,261354.57,Filed,0,34895.1,MSME_384669616
01,2026,1567194.49,282095.01,Filed,21,73546.4,MSME_384669616
02,2026,1462693.41,263284.81,Filed,0,89763.59,MSME_384669616
03,2026,1454754.76,261855.86,Filed,0,31901.3,MSME_384669616
04,2026,1475715.95,265628.87,Filed,0,73968.39,MSME_384669616
05,2026,1469068.84,264432.39,Filed,0,62486.78,MSME_384669616
06,2026,1518659.54,273358.72,Filed,0,66284.24,MSME_384669616
07,2024,1621782.95,291920.93,Filed,0,35648.65,MSME_600241601
08,2024,1789992.83,322198.71,Filed,0,83641.27,MSME_600241601
09,2024,1775196.62,319535.39,Filed,0,42587.82,MSME_600241601
10,2024,1858637.94,334554.83,Filed,0,69362.27,MSME_600241601
11,2024,1851339.06,333241.03,Filed,0,63773.37,MSME_600241601
12,2024,1624687.42,292443.74,Filed,0,33285.08,MSME_600241601
01,2025,1993758.42,358876.52,Filed,0,112356.35,MSME_600241601
02,2025,1993874.94,358897.49,Late,43,109927.72,MSME_600241601
03,2025,1980026.45,356404.76,Filed,0,77199.68,MSME_600241601
04,2025,1974458.46,355402.52,Filed,0,122715.79,MSME_600241601
05,2025,1947305.49,350514.99,Filed,0,49709.35,MSME_600241601
06,2025,2052338.51,369420.93,Filed,0,135964.42,MSME_600241601
07,2025,1842479.51,331646.31,Filed,0,72490.8,MSME_600241601
08,2025,2025483.63,364587.05,Filed,0,102563.47,MSME_600241601
09,2025,2075679.91,373622.38,Filed,0,141661.48,MSME_600241601
10,2025,2096523.43,377374.22,Filed,0,120863.75,MSME_600241601
11,2025,1915167.9,344730.22,Filed,0,120186.49,MSME_600241601
12,2025,2077112.01,373880.16,Filed,0,53257.19,MSME_600241601
01,2026,1962111.22,353180.02,Filed,0,68558.84,MSME_600241601
02,2026,1880165.45,338429.78,Filed,0,101268.71,MSME_600241601
03,2026,1984428.73,357197.17,Filed,0,101125.9,MSME_600241601
04,2026,2056776.2,370219.72,Filed,0,130542.97,MSME_600241601
05,2026,2159791.56,388762.48,Filed,0,96771.08,MSME_600241601
06,2026,2013693.09,362464.76,Filed,0,129993.03,MSME_600241601
07,2024,4664889.1,839680.04,Filed,0,110532.93,MSME_592894608
08,2024,4727338.3,850920.89,Filed,0,140507.18,MSME_592894608
09,2024,5193338.72,934800.97,Filed,0,203828.79,MSME_592894608
10,2024,5059536.97,910716.65,Filed,0,233199.88,MSME_592894608
11,2024,5393481.17,970826.61,Filed,0,173153.91,MSME_592894608
12,2024,5257092.16,946276.59,Filed,0,285382.92,MSME_592894608
01,2025,5086671.87,915600.94,Filed,0,180698.63,MSME_592894608
02,2025,4812319.07,866217.43,Filed,0,121572.62,MSME_592894608
03,2025,5216589.43,938986.1,Filed,0,97124.6,MSME_592894608
04,2025,5539191.0,997054.38,Filed,28,144666.42,MSME_592894608
05,2025,5343831.94,961889.75,Filed,0,134637.94,MSME_592894608
06,2025,5253983.09,945716.96,Filed,0,313596.22,MSME_592894608
07,2025,5388592.74,969946.69,Filed,0,209888.66,MSME_592894608
08,2025,5594823.74,1007068.27,Filed,0,342339.0,MSME_592894608
09,2025,6143497.87,1105829.62,Filed,0,225363.32,MSME_592894608
10,2025,5594395.83,1006991.25,Filed,0,255642.8,MSME_592894608
11,2025,5606036.03,1009086.49,Filed,0,246507.71,MSME_592894608
12,2025,5724665.22,1030439.74,Filed,0,390541.85,MSME_592894608
01,2026,5516960.54,993052.9,Filed,0,311148.54,MSME_592894608
02,2026,5366530.54,965975.5,Filed,0,110368.97,MSME_592894608
03,2026,5920478.68,1065686.16,Filed,0,138328.61,MSME_592894608
04,2026,5558248.41,1000484.71,Filed,0,268679.63,MSME_592894608
05,2026,6027774.33,1084999.38,Filed,0,300950.15,MSME_592894608
06,2026,6038512.42,1086932.24,Filed,0,357426.07,MSME_592894608
07,2024,1036936.74,186648.61,Filed,0,52864.86,MSME_717876575
08,2024,976553.3,175779.59,Filed,0,39765.29,MSME_717876575
09,2024,1059010.19,190621.83,Filed,0,51825.31,MSME_717876575
10,2024,957464.04,172343.53,Filed,0,49878.52,MSME_717876575
11,2024,1109746.41,199754.35,Filed,0,53610.16,MSME_717876575
12,2024,1010238.12,181842.86,Filed,0,57961.25,MSME_717876575
01,2025,1018660.14,183358.82,Filed,0,27917.99,MSME_717876575
02,2025,1044414.19,187994.55,Filed,0,38292.49,MSME_717876575
03,2025,966912.52,174044.25,Filed,0,28637.09,MSME_717876575
04,2025,1098642.73,197755.69,Filed,0,54062.88,MSME_717876575
05,2025,1025534.29,184596.17,Filed,0,34520.5,MSME_717876575
06,2025,1086789.32,195622.08,Filed,0,59486.59,MSME_717876575
07,2025,1016867.52,183036.15,Filed,0,27042.46,MSME_717876575
08,2025,1128291.6,203092.49,Filed,0,54479.25,MSME_717876575
09,2025,1089454.82,196101.87,Filed,0,32695.41,MSME_717876575
10,2025,1165211.12,209738.0,Filed,0,74341.59,MSME_717876575
11,2025,1190735.22,214332.34,Filed,0,77142.74,MSME_717876575
12,2025,1087331.34,195719.64,Filed,0,61689.22,MSME_717876575
01,2026,1142358.27,205624.49,Filed,0,73729.78,MSME_717876575
02,2026,1182268.84,212808.39,Filed,0,26279.63,MSME_717876575
03,2026,1080776.79,194539.82,Filed,0,28913.77,MSME_717876575
04,2026,1191727.27,214510.91,Filed,0,33995.9,MSME_717876575
05,2026,1241271.04,223428.79,Filed,0,46857.6,MSME_717876575
06,2026,1189508.89,214111.6,Filed,0,79688.31,MSME_717876575
07,2024,4891607.93,880489.43,Filed,0,324706.46,MSME_670149513
08,2024,4988088.91,897856.0,Filed,0,356095.7,MSME_670149513
09,2024,4988977.3,898015.91,Filed,0,192484.57,MSME_670149513
10,2024,4914326.53,884578.78,Filed,0,265486.63,MSME_670149513
11,2024,5448816.28,980786.93,Filed,0,258449.78,MSME_670149513
12,2024,5571410.45,1002853.88,Filed,0,196343.94,MSME_670149513
01,2025,4937068.42,888672.32,Filed,0,313666.31,MSME_670149513
02,2025,6065464.28,1091783.57,Filed,0,112410.38,MSME_670149513
03,2025,5414334.29,974580.17,Filed,20,266222.32,MSME_670149513
04,2025,5357231.66,964301.7,Filed,0,248201.56,MSME_670149513
05,2025,5371092.57,966796.66,Filed,0,232128.01,MSME_670149513
06,2025,5469703.47,984546.62,Filed,0,264019.5,MSME_670149513
07,2025,5197619.96,935571.59,Filed,0,354487.84,MSME_670149513
08,2025,5829492.13,1049308.58,Filed,0,252208.78,MSME_670149513
09,2025,5933807.09,1068085.28,Filed,0,199188.93,MSME_670149513
10,2025,5580858.48,1004554.53,Filed,0,176412.15,MSME_670149513
11,2025,5786492.96,1041568.73,Filed,0,134618.55,MSME_670149513
12,2025,5890836.65,1060350.6,Filed,0,374394.0,MSME_670149513
01,2026,5966880.56,1074038.5,Filed,0,347346.82,MSME_670149513
02,2026,5414532.2,974615.8,Filed,0,137900.76,MSME_670149513
03,2026,5813938.89,1046509.0,Filed,0,224536.42,MSME_670149513
04,2026,6159507.84,1108711.41,Filed,0,389143.23,MSME_670149513
05,2026,6246822.71,1124428.09,Filed,0,149162.72,MSME_670149513
06,2026,5714407.54,1028593.36,Filed,0,126056.36,MSME_670149513
07,2024,2868203.04,516276.55,Filed,0,158740.13,MSME_898267512
08,2024,3106398.69,559151.76,Late,38,106772.31,MSME_898267512
09,2024,4346917.47,782445.14,Filed,0,86039.23,MSME_898267512
10,2024,3104499.0,558809.82,Filed,2,185315.0,MSME_898267512
11,2024,3542195.68,637595.22,Late,38,142900.16,MSME_898267512
12,2024,3816276.37,686929.75,Late,35,208172.45,MSME_898267512
01,2025,4317701.26,777186.23,Late,34,218369.69,MSME_898267512
02,2025,3766607.1,677989.28,Filed,0,167370.96,MSME_898267512
03,2025,2856508.2,514171.48,Filed,1,76490.23,MSME_898267512
04,2025,3622071.77,651972.92,Filed,0,100302.51,MSME_898267512
05,2025,3913767.36,704478.13,Filed,13,186968.37,MSME_898267512
06,2025,3531966.5,635753.97,Filed,0,126808.92,MSME_898267512
07,2025,3509671.69,631740.9,Late,36,101627.11,MSME_898267512
08,2025,3429697.27,617345.51,Filed,0,204231.28,MSME_898267512
09,2025,3811761.67,686117.1,Filed,0,85901.51,MSME_898267512
10,2025,3716947.78,669050.6,Filed,0,264648.59,MSME_898267512
11,2025,3205757.02,577036.26,Filed,26,117347.87,MSME_898267512
12,2025,3036145.32,546506.16,Filed,4,80272.09,MSME_898267512
01,2026,2714538.21,488616.88,Late,37,159065.52,MSME_898267512
02,2026,2711365.92,488045.87,Late,30,48887.82,MSME_898267512
03,2026,2719916.78,489585.02,Filed,12,62358.76,MSME_898267512
04,2026,3516540.19,632977.23,Filed,0,128979.23,MSME_898267512
05,2026,3086367.01,555546.06,Filed,0,125217.86,MSME_898267512
06,2026,3197611.51,575570.07,Filed,0,191938.41,MSME_898267512
07,2024,3000662.37,540119.23,Filed,0,163223.62,MSME_983184155
08,2024,2652800.85,477504.15,Late,39,138885.77,MSME_983184155
09,2024,2703223.28,486580.19,Late,42,63628.82,MSME_983184155
10,2024,2744627.75,494033.0,Filed,16,60625.91,MSME_983184155
11,2024,2790038.02,502206.84,Filed,12,149440.76,MSME_983184155
12,2024,3275565.8,589601.84,Filed,13,140633.34,MSME_983184155
01,2025,2065545.93,371798.27,Late,38,65851.51,MSME_983184155
02,2025,2888128.06,519863.05,Late,36,97940.64,MSME_983184155
03,2025,2812821.5,506307.87,Filed,0,129139.23,MSME_983184155
04,2025,2873693.61,517264.85,Late,33,157126.61,MSME_983184155
05,2025,2628101.04,473058.19,Late,32,158537.04,MSME_983184155
06,2025,3097499.88,557549.98,Filed,18,105831.82,MSME_983184155
07,2025,2572150.17,462987.03,Filed,9,162406.11,MSME_983184155
08,2025,2971424.37,534856.39,Late,32,130275.19,MSME_983184155
09,2025,1944656.17,350038.11,Filed,25,50687.98,MSME_983184155
10,2025,2672236.38,481002.55,Late,42,140187.66,MSME_983184155
11,2025,2417383.63,435129.05,Filed,0,117412.03,MSME_983184155
12,2025,2687000.57,483660.1,Filed,29,120791.98,MSME_983184155
01,2026,2290803.64,412344.66,Filed,0,106534.79,MSME_983184155
02,2026,2276179.11,409712.24,Filed,0,86012.53,MSME_983184155
03,2026,2223924.1,400306.34,Filed,0,147136.68,MSME_983184155
04,2026,2247341.15,404521.41,Late,38,145525.52,MSME_983184155
05,2026,2373894.39,427300.99,Filed,0,126457.52,MSME_983184155
06,2026,1845938.0,332268.84,Filed,23,77344.09,MSME_983184155
07,2024,2584421.01,465195.78,Filed,0,102654.83,MSME_481516765
08,2024,2015144.58,362726.02,Filed,11,116103.25,MSME_481516765
09,2024,2334691.89,420244.54,Filed,20,100768.48,MSME_481516765
10,2024,2257476.24,406345.72,Filed,0,145251.79,MSME_481516765
11,2024,2310449.27,415880.87,Late,35,109114.46,MSME_481516765
12,2024,2116789.1,381022.04,Filed,0,77521.69,MSME_481516765
01,2025,2292926.59,412726.79,Late,36,52336.01,MSME_481516765
02,2025,2260212.99,406838.34,Filed,0,110636.92,MSME_481516765
03,2025,1891127.8,340403.0,Filed,29,72678.33,MSME_481516765
04,2025,2295575.18,413203.53,Filed,0,122312.68,MSME_481516765
05,2025,1894207.16,340957.29,Filed,13,93888.61,MSME_481516765
06,2025,2057828.8,370409.18,Filed,0,141326.9,MSME_481516765
07,2025,2028344.86,365102.07,Filed,0,51878.21,MSME_481516765
08,2025,2122174.96,381991.49,Late,32,47502.59,MSME_481516765
09,2025,2090695.16,376325.13,Filed,0,91817.14,MSME_481516765
10,2025,1732260.46,311806.88,Late,32,32995.39,MSME_481516765
11,2025,2184382.98,393188.94,Filed,12,129217.1,MSME_481516765
12,2025,2132759.33,383896.68,Filed,0,138363.01,MSME_481516765
01,2026,1529979.84,275396.37,Filed,0,94745.24,MSME_481516765
02,2026,2302464.89,414443.68,Filed,0,99009.69,MSME_481516765
03,2026,1805514.86,324992.67,Filed,0,95622.95,MSME_481516765
04,2026,1851722.65,333310.08,Late,31,96456.6,MSME_481516765
05,2026,2047565.83,368561.85,Late,35,78135.9,MSME_481516765
06,2026,1903546.19,342638.31,Filed,27,53335.87,MSME_481516765
07,2024,4391614.67,790490.64,Filed,0,145132.59,MSME_935136700
08,2024,4024939.98,724489.2,Filed,0,228479.45,MSME_935136700
09,2024,3156749.36,568214.88,Filed,0,103598.28,MSME_935136700
10,2024,4649057.6,836830.37,Filed,0,285740.06,MSME_935136700
11,2024,4333331.73,779999.71,Filed,0,206724.42,MSME_935136700
12,2024,4507101.12,811278.2,Filed,0,159178.42,MSME_935136700
01,2025,4658054.94,838449.89,Filed,19,141622.2,MSME_935136700
